,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Month
0,7610,Josphat KIPRONO,12 DEC 1973,KEN,1.0,Rotterdam (NED),2001-04-22,04
1,7622,Driss EL HIMER,04 APR 1974,FRA,1.0,Amsterdam (NED),2001-10-21,10
2,7654,Antonio PEÑA,26 AUG 1970,ESP,1.0,Otsu (JPN),2001-03-04,03
3,7725,Takayuki NISHIDA,26 APR 1977,JPN,1.0,Beppu (JPN),2001-02-04,02
4,7727,Joseph NGOLEPUS,10 APR 1975,KEN,1.0,Berlin (GER),2001-09-30,09
5,7737,John Nada SAYA,08 AUG 1978,TAN,1.0,Milano (ITA),2001-12-02,12
6,7807,John Karunga KAGWE,09 JAN 1969,KEN,1.0,"San Diego, CA (USA)",2001-06-03,06
7,7814,Andrew SAMBU,05 OCT 1972,TAN,1.0,Praha (CZE),2001-05-20,05
8,7821,Samson KANDIE,20 APR 1971,KEN,1.0,San Sebastián (ESP),2001-11-25,11
9,8016,Wilson KIBET,18 FEB 1972,KEN,1.0,Dubai (UAE),2001-01-12,01
10,8025,Tsutomu SASSA,26 JUL 1974,JPN,1.0,Sapporo (JPN),2001-08-26,08
11,8071,Erick KIMAIYO KIMASE,08 JUL 1969,KEN,2.0,São Paulo (BRA),2001-07-08,07
12,7538,Khalid KHANNOUCHI,22 DEC 1971,USA,1.0,London (GBR),2002-04-14,04
13,7576,Daniel NJENGA,07 MAY 1976,KEN,2.0,"Chicago, IL (USA)",2002-10-13,10
15,7607,Raymond Kipkoech CHEMWELO,19 JUL 1978,KEN,1.0,Berlin (GER),2002-09-29,09
16,7696,Hailu NEGUSSIE,16 APR 1978,ETH,1.0,Hofu (JPN),2002-12-15,12
17,7715,Ryuji TAKEI,18 MAY 1971,JPN,1.0,Otsu (JPN),2002-03-03,03
18,7723,Erick WAINAINA,19 DEC 1973,KEN,1.0,Tokyo (JPN),2002-02-10,02
19,7774,Timothy CHERIGAT,29 DEC 1976,KEN,1.0,San Sebastián (ESP),2002-11-24,11
20,7824,Stephen NDUNGU,01 JUN 1967,KEN,2.0,"San Diego, CA (USA)",2002-06-02,06
21,7825,Moses TANUI,20 AUG 1965,KEN,1.0,Wien (AUT),2002-05-26,05
22,7879,Vanderlei Cordeiro DA LIMA,11 AUG 1969,BRA,1.0,São Paulo (BRA),2002-07-14,07
23,7934,Janne HOLMÉN,26 SEP 1977,FIN,1.0,München (GER),2002-08-11,08
24,7941,Rachid EL GHANMOUNI,10 APR 1978,MAR,1.0,Casablanca (MAR),2002-01-06,01
25,7495,Paul TERGAT,17 JUN 1969,KEN,1.0,Berlin (GER),2003-09-28,09
26,7550,Evans RUTTO,08 APR 1978,KEN,1.0,"Chicago, IL (USA)",2003-10-12,10
27,7593,Michael Kosgei ROTICH,29 OCT 1982,KEN,1.0,Paris (FRA),2003-04-06,04
28,7659,Japheth KOSGEI,20 DEC 1968,KEN,1.0,Otsu (JPN),2003-03-02,03
29,7672,Tomoaki KUNICHIKA,22 APR 1973,JPN,1.0,Fukuoka (JPN),2003-12-07,12
30,7711,Jaouad GHARIB,22 MAY 1972,MAR,1.0,"Stade de France, Paris-St-Denis (FRA)",2003-08-30,08
31,7748,John Kirwa BIRGEN,1974,KEN,1.0,Milano (ITA),2003-11-30,11
32,7773,Joseph Kahugu NJOROGE,07 JUN 1971,KEN,1.0,Dubai (UAE),2003-01-10,01
